-40.321	37.591	9.641
-38.18	37.071	10.041
-37.996	37.794	10.441
-36.507	37.688	10.841
-36.269	37.631	11.241
-34.366	37.168	11.641
-33.177	36.879	12.041
-31.151	36.899	12.441
-29.424	36.735	12.841
-27.282	36.215	13.241
-25.432	36.533	13.641
-23.943	36.428	14.041
-20.964	36.216	14.441
-20.134	35.502	14.841
-18.406	35.339	15.241
-15.426	35.127	15.642
-14.174	35.079	16.042
-12.805	34.49	16.442
-10.422	33.912	16.842
-9.052	33.323	17.242
-7.443	32.676	17.642
-5.774	32.271	18.042
-3.628	31.75	18.442
-2.317	30.919	18.842
-0.348	30.697	19.242
1.979	29.875	19.642
3.113	30.369	20.042
6.038	29.915	20.442
7.291	28.841	20.842
9.201	28.377	21.242
11.531	27.555	21.642
12.905	26.965	22.042
14.817	26.501	22.442
15.833	25.484	22.842
17.09	24.409	23.242
17.329	24.351	23.642
19.6	24.313	24.042
20.556	24.08	24.442
22.29	23.916	24.842
24.204	23.451	25.242
25.941	22.258	25.642
27.797	21.551	26.043
29.053	21.502	26.443
31.027	21.279	26.843
33.54	21.183	27.243
35.275	21.018	27.643
37.67	20.436	28.043
39.348	20.028	28.443
41.083	19.864	28.843
42.819	19.699	29.243
45.391	19.844	29.643
46.648	19.796	30.043
48.682	19.815	30.443
50.535	20.136	30.843
52.685	20.64	31.243
54.603	20.175	31.643
56.455	20.495	32.043
58.192	20.33	32.443
59.44	21.31	32.843
60.697	21.262	33.243
61.886	21.999	33.643
63.258	22.436	34.043
64.937	22.028	34.443
66.548	22.407	34.843
67.988	22.058	35.243
69.187	21.767	35.643
70.81	21.117	36.043
72.079	20.04	36.444
73.645	19.147	36.844
74.492	18.428	37.244
75.648	16.864	37.644
76.198	15.96	38.044
76.691	14.813	38.444
77.551	13.062	38.844
78.526	11.797	39.244
79.444	10.288	39.644
80.109	9.869	40.044
81.793	9.459	40.444
82.515	9.284	40.844
83.054	9.411	41.244
85.022	10.219	41.644
85.8	10.288	42.044
87.328	12.488	42.444
87.739	13.16	42.844
87.653	14.979	43.244
87.935	16.194	43.644
87.85	18.011	44.044
86.521	18.846	44.444
85.319	19.138	44.844
83.751	20.031	45.244
81.842	19.468	45.644
80.401	19.817	46.044
79.257	20.351	46.444
78.057	20.642	46.845
76.319	20.807	47.245
75.074	19.826	47.645
73.462	19.448	48.045
72.571	18.894	48.445
70.593	19.118	48.845
68.855	19.282	49.245
66.935	19.748	49.645
65.667	20.825	50.045
64.045	21.475	50.445
61.579	22.843	50.845
60.131	24.219	51.245
58.684	25.595	51.645
57.898	26.553	52.045
57.113	27.512	52.445
55.609	28.644	52.845
54.701	30.143	53.245
53.974	31.341	53.645
53.545	32.723	54.045
53.834	33.93	54.445
55.137	35.147	54.845
55.846	35.997	55.245
57.454	36.373	55.645
58.41	36.142	56.045
60.439	36.161	56.445
61.405	34.907	56.845
62.841	34.559	57.246
63.559	34.386	57.646
65.474	33.922	58.046
66.978	32.793	58.446
67.343	32.194	58.846
68.905	31.305	59.246
70.228	30.473	59.646
71.905	30.067	60.046
73.217	30.261	60.446
74.712	30.155	60.846
76.434	31.016	61.246
77.689	30.967	61.646
78.648	30.735	62.046
80.156	29.604	62.446
81.185	28.588	62.846
82.158	27.33	63.246
82.651	26.188	63.646
83.272	24.502	64.046
83.893	22.815	64.446
84.09	21.486	64.846
83.934	19.73	65.246
84.118	19.429	65.646
84.556	18.04	66.046
85.659	16.233	66.446
85.857	14.901	66.846
86.889	13.88	67.246
87.611	13.704	67.647
88.573	13.471	68.047
90.002	14.152	68.447
91.133	14.648	68.847
91.783	15.261	69.247
93.027	16.243	69.647
93.38	16.67	70.047
93.348	18.73	70.447
92.315	19.75	70.847
91.098	21.07	71.247
90.363	22.272	71.647
88.738	22.922	72.047
86.76	23.145	72.447
85.079	23.552	72.847
84.359	23.727	73.247
82.382	23.949	73.647
81.182	24.24	74.047
79.969	25.558	74.447
79.009	25.79	74.847
77.09	26.255	75.247
76.257	25.945	75.647
74.407	25.625	76.047
73.139	26.7	76.447
71.7	27.048	76.847
70.387	26.855	77.247
68.47	27.319	77.647
67.568	27.793	78.048
66.37	28.084	78.448
64.578	28.006	78.848
62.489	27.744	79.248
60.821	27.125	79.648
60.218	27.783	80.048
60.208	28.809	80.448
59.672	28.683	80.848
58.896	28.615	81.248
57.88	28.605	81.648
57.401	28.721	82.048
56.212	27.986	82.448
55.321	27.434	82.848
53.05	27.472	83.248
51.976	27.221	83.648
51.323	26.611	84.048
50.852	25.7	84.448
51.926	25.952	84.848
53.239	26.146	85.248
55.387	26.65	85.648
56.03	28.286	86.048
57.037	29.321	86.448
57.325	30.53	86.848
56.656	31.97	87.248
55.509	33.525	87.648
54.906	34.182	88.048
54.114	36.16	88.449
52.737	36.749	88.849
51.195	35.59	89.249
49.703	35.696	89.649
47.551	36.217	90.049
47.66	37.722	90.449
47.291	39.341	90.849
47.458	41.085	91.249
47.747	42.289	91.649
48.984	44.281	92.049
49.331	45.724	92.449
49.555	47.704	92.849
48.24	48.53	93.249
46.628	49.173	93.649
46.151	49.288	94.049
46.975	50.613	94.449
48.695	51.468	94.849
51.433	51.315	95.249
54.039	52.716	95.649
55.338	53.925	96.049
56.57	55.909	96.449
57.448	57.47	96.849
58.868	58.141	97.249
60.832	57.921	97.649
62.5	57.52	98.049
63.883	55.921	98.449
65.914	54.925	98.85
67.118	53.621	99.25
67.73	51.952	99.65
66.911	50.628	100.05
65.557	49.178	100.45
63.543	48.14	100.85
61.166	47.697	101.25
59.676	47.802	101.65
